City,State,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Average AQI(2024),Latitude,Longitude
Visakhapatnam,Andhra Pradesh,88.2,50.6,40.7,36.9,26.3,30.4,29.5,25.8,44.6,47.1,66.7,60.3,45.59166667,17.6935526,83.2921297
Dausa,Rajasthan,79.9,60.2,38.3,30.5,45,38.8,34.5,22.8,30.3,34.8,63.9,63.9,45.24166667,26.8048658,76.4437457
Cuttack,Odisha,124,71.2,34.8,41,16.7,22.7,17.4,12.9,16.6,28.3,70.3,80,44.65833333,20.4686,85.8792
Bhilwara,Rajasthan,84.2,54.7,57.5,29.1,33.3,18.9,24.9,18.7,26.5,40.8,67.8,79.8,44.68333333,25.4891177,74.3300726
Kanpur,Uttar Pradesh,62.5,47.2,44.6,44.3,53.1,40.3,20.2,20.8,28.4,57.2,73.8,50.9,45.275,26.4635198,80.246895
Ujjain,Madhya Pradesh,80.2,45.5,37.8,34.5,33.3,41,23.3,18.6,30.4,62.2,80.8,48.9,44.70833333,23.1885131,75.7716562
Aurangabad,Maharashtra,81.6,65.9,52.8,46.8,52.9,31.4,16,18.7,22,35.2,61.9,54.3,44.95833333,19.877263,75.3390241
Bundi,Rajasthan,100.1,57.2,32.4,25.8,31.6,26,24.8,21.3,24.2,43.3,71.8,80.2,44.89166667,25.4367659,75.7361471
Mahad,Maharashtra,56.5,57.4,56.5,53.7,44.5,23.4,16.4,20.5,20.7,44,84.1,61.6,44.94166667,18.080753,73.42438
Bhopal,Madhya Pradesh,79,50.8,33.1,31,29.1,20.4,15.2,20.1,26.1,54.9,95.7,77.3,44.39166667,23.2584857,77.401989
Dewas,Madhya Pradesh,64.4,47.5,37,43,27.2,24.9,20.8,24.2,30.9,59.8,72.7,69.6,43.5,22.8057498,76.2940408
Bihar Sharif,Bihar,45.6,55.3,46,37.3,36.7,42,17.4,11.2,18.1,27,90,99.7,43.85833333,25.193859,85.5208617
Ambala,Haryana,59.5,38.1,31.3,29.9,39.1,36.5,37.5,32.6,27.8,57.9,82.1,52.3,43.71666667,30.3843674,76.770421
Virar,Maharashtra,53.1,59.4,56.2,40,29.4,23.3,25.6,23.4,26,44.9,74.9,66.2,43.53333333,19.4497996,72.8120613
Kolhapur,Maharashtra,60.2,65.6,58.2,55.4,42.8,21.4,17.1,15.6,18.9,41.6,77.4,48.6,43.56666667,16.7028412,74.2405329
Ankleshwar,Gujarat,66,55.7,44.5,38,33.4,24.6,20.4,18.9,30.1,48.7,70.5,68.5,43.275,21.6293206,72.9945103
Dungarpur,Rajasthan,75.8,50.2,32,26.2,26.9,31,49,31.5,24.4,38,64.9,64.4,42.85833333,23.8538893,73.7087177
Kollam,Kerala,66.8,60.3,59.4,57.5,45,34.6,34.8,29.7,40.2,28.4,26.7,23.6,42.25,8.8870815,76.5907017
Keonjhar,Odisha,93.1,63.4,53.2,63.1,37.6,27.1,14.9,24.6,21.6,38.3,36.3,36.4,42.46666667,21.5,85.5
Jhalawar,Rajasthan,90.5,49.7,31,27,32,23.4,30,23.7,31.1,37.5,67.1,69.9,42.74166667,24.3132368,76.5221078
Chandrapur,Maharashtra,81.7,54.2,57.6,53.9,38.6,23.6,14.6,17.8,23.1,39.8,60.3,51,43.01666667,20.0967555,79.5045475
Bhayandar,Maharashtra,53.4,65.7,60,43.4,26.1,16.6,15.7,14.5,16.9,43.3,80.5,70.4,42.20833333,19.3101847,72.8526988
Baran,Rajasthan,67.7,54.5,40.9,36.3,29.8,20.4,17.4,16.5,18.8,51.3,80.2,63.7,41.45833333,24.9208165,76.6821985
